Source (A)	Source (B)	Source (C)	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	affect	posemo	negemo	anx	anger	sad	cogproc	insight	cause	discrep	tentat	certain	differ	see	hear	feel	drives	affiliation	achieve	power	reward	risk	swear	netspeak	assent	nonflu	filler	QMark	Exclam
Together with EADS we are entering a long-term research partnership with Diamond Aircraft to introduce new electric propulsion systems that could help airlines lower their fuel bills and drive environmental performance:  http://www.siemens.com/press/en/feature/2013/corporate/2013-06-airshow.php	HER	photo	46	87.57	90.38	16.76	4.13	46.00	36.96	2.17	0.00	2.17	0.00	0.00	2.17	2.17	0.00	0.00	2.17	0.00	0.00	0.00	0.00	0.00	2.17	10.87	8.70	0.00	4.35	0.00	0.00	0.00	2.17	0.00	0.00	0.00	0.00	0.00
Energy in motion Everything revolves around energy transition. At the Sony Center on Berlin’s Potsdamer Platz on June 8  we showed passers-by just how much motion there really is in Germany’s energy system – with a unique dance routine. Take a look at it here: http://www.youtube.com/siemens?x=en/player/video=NSobsyrQbc8/author=Siemens	HER	photo	58	94.36	69.76	69.96	97.32	19.33	20.69	5.17	5.17	0.00	0.00	0.00	0.00	5.17	0.00	1.72	0.00	0.00	1.72	1.72	5.17	0.00	0.00	5.17	3.45	0.00	0.00	1.72	0.00	0.00	1.72	0.00	0.00	0.00	1.72	0.00
The benefits of modernized power plants can include increased output  reduced emissions and big savings. Learn more here http://sie.ag/13z2A0e	HER	photo	25	88.07	50.00	6.70	91.14	12.50	28.00	4.00	4.00	0.00	0.00	0.00	0.00	4.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	0.00	0.00	8.00	4.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00
Europe's first fleet of electric buses is now operating emission-free in Vienna. Siemens’ integrated charging technology gives the eBus the edge: The buses’ lithium-ferrite batteries – one of the most efficient battery technologies available today – are slowly recharged to full capacity overnight. http://www.siemens.com/innovation/apps/pof_microsite/_pof-spring-2013/_html_en/electric-buses.html	HER	photo	60	98.02	56.63	15.86	57.28	20.00	36.67	1.67	1.67	0.00	0.00	0.00	0.00	1.67	0.00	0.00	0.00	1.67	0.00	0.00	0.00	0.00	0.00	3.33	0.00	3.33	0.00	0.00	0.00	0.00	3.33	0.00	0.00	0.00	0.00	0.00
In 1933 Siemens lays the foundation for the technological advancement of X-ray tubes: Pantix is the worlds first rotating anode x-ray tube with a disc-shaped anode and high temperature radiation cooling. It withstands much higher electric loads than conventional X-ray tubes. Read more here: http://www.siemens.com/history/en/news/1195_pantix.htm	HER	photo	59	98.06	43.26	24.96	25.77	19.67	22.03	0.00	0.00	0.00	0.00	0.00	0.00	1.69	0.00	0.00	0.00	0.00	0.00	1.69	0.00	0.00	1.69	6.78	0.00	3.39	3.39	1.69	0.00	0.00	1.69	0.00	0.00	0.00	0.00	0.00
Reducing energy demand despite of economic growth – is that possible? Siemens is facing one of today’s biggest challenges. Find out more here: www.sie.ag/17Ujkmk	HER	photo	26	92.84	35.01	63.54	99.00	8.67	30.77	7.69	7.69	0.00	0.00	0.00	0.00	11.54	3.85	0.00	0.00	3.85	0.00	3.85	0.00	0.00	0.00	11.54	0.00	3.85	7.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.85	0.00
The Shisong hospital in Kumbo  in the Northwest of Cameroon  is a ray of hope for Africa. There you will find the only cardiac center in the whole of western and central Africa. Highlight of its equipment is an angiography system from Siemens that allows heart diseases to be diagnosed and treated. Open heart surgery is no longer the only option! Watch the video here: http://youtu.be/j1G0VN96AT0	HER	photo	70	95.22	55.67	13.15	52.57	14.00	22.86	1.43	1.43	0.00	0.00	0.00	0.00	7.14	2.86	1.43	1.43	2.86	0.00	0.00	2.86	0.00	0.00	1.43	0.00	0.00	1.43	0.00	0.00	0.00	1.43	0.00	0.00	0.00	0.00	1.43
An alternative to building a new subway? More frequent train services: Thanks to a new WLAN-based train control system  train frequency can be doubled. Find out more on how Siemens is revolutionizing subway management: www.sie.ag/17UiBRX	HER	photo	39	96.61	39.87	30.55	73.64	13.00	28.21	2.56	2.56	0.00	0.00	0.00	0.00	12.82	2.56	7.69	0.00	0.00	0.00	2.56	0.00	0.00	0.00	7.69	0.00	0.00	7.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.56	0.00
In the run-up to the Millennium Exhibition in 1896  the city of Budapest launched the first electrically powered underground railway on the European continent installed by Siemens & Halske. Read more: http://sie.ag/1018T91	HER	photo	37	99.00	50.00	54.14	25.77	18.50	32.43	0.00	0.00	0.00	0.00	0.00	0.00	2.70	0.00	2.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.41	0.00	2.70	2.70	0.00	0.00	0.00	2.70	0.00	0.00	0.00	0.00	0.00
Fresh wind from an ancient land! Turkey plans its energy supply and promotes local sources such as wind power. Click here to learn more: www.sie.ag/ZpWLSU	HER	photo	28	88.66	50.00	13.15	87.20	9.33	10.71	3.57	3.57	0.00	0.00	0.00	0.00	7.14	3.57	3.57	0.00	0.00	0.00	0.00	0.00	3.57	0.00	10.71	0.00	7.14	3.57	3.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.57
For primary diagnosis of cancer  a biopsy is often performed to confirm diagnosis and obtain basic information about the disease. Oncologists then use imaging techniques for more precise information about the tumor. Siemens offers the first systems that can capture PET and MR data simultaneously  as Dr. Minne van der Haak and  Dr. Wieland Voigt  both from Siemens Healthcare in Erlangen  explain in an interview: http://sie.ag/16xx3jL	HER	photo	71	96.89	71.35	32.70	25.77	23.67	30.99	0.00	0.00	0.00	0.00	0.00	0.00	12.68	8.45	1.41	0.00	1.41	1.41	0.00	0.00	0.00	0.00	4.23	0.00	2.82	1.41	1.41	0.00	0.00	1.41	0.00	0.00	0.00	0.00	0.00
Interested in our results for the second quarter of fiscal 2013? Click here for more information and a live-broadcast of the press conference: www.sie.ag/ZR7nqW	HER	photo	28	99.00	76.25	1.06	87.20	14.00	21.43	3.57	3.57	0.00	0.00	0.00	0.00	7.14	3.57	3.57	0.00	0.00	0.00	0.00	0.00	3.57	3.57	3.57	3.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.57	0.00
Our world is in great need for sustainable energy supplies. Did you know that highly efficient gas power plants almost hold the key to success? Take a look at the examples here: http://sie.ag/11bQR7V	HER	photo	38	92.84	85.38	1.52	99.00	12.67	13.16	7.89	7.89	0.00	0.00	0.00	0.00	7.89	2.63	0.00	2.63	2.63	0.00	0.00	2.63	0.00	0.00	15.79	2.63	5.26	2.63	7.89	0.00	0.00	2.63	0.00	0.00	0.00	2.63	0.00
In Medellín  Colombia  many people suffer from Alzheimer‘s at an early age. An international team of researchers is testing a special medication supported by imaging techniques from Siemens. Read here about a potential breakthrough in the treatment of Alzheimer‘s. http://sie.ag/11a8IuF	HER	photo	47	99.00	66.48	15.43	66.07	11.75	34.04	6.38	4.26	2.13	0.00	0.00	2.13	4.26	2.13	0.00	0.00	2.13	0.00	0.00	0.00	0.00	0.00	6.38	2.13	4.26	2.13	0.00	0.00	0.00	2.13	0.00	0.00	0.00	0.00	0.00
In the Children’s Hospital of Philadelphia  scientists are unlocking the secrets of a global autism epidemic – and MRI diagnostic may be able to help. Click here  to find out how: http://sie.ag/11jExQ9	HER	photo	36	96.85	79.76	23.51	25.77	18.00	22.22	0.00	0.00	0.00	0.00	0.00	0.00	13.89	8.33	2.78	0.00	2.78	0.00	0.00	0.00	2.78	0.00	8.33	2.78	2.78	5.56	0.00	0.00	0.00	2.78	0.00	0.00	0.00	0.00	0.00
The World Energy Congress in Daegu  South Korea  marks the most important date in 2013 for developing sustainable energy systems. Join us on the Road to Daegu: siemens.com/wec	HER	photo	30	99.00	84.14	65.14	99.00	15.00	20.00	10.00	10.00	0.00	0.00	0.00	0.00	3.33	0.00	0.00	0.00	3.33	0.00	0.00	0.00	0.00	0.00	13.33	6.67	0.00	6.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Check out our new "Pictures of the Future" magazine issue. Let us know what you think. :-)  http://www.siemens.com/innovation/apps/pof_microsite/_pof-spring-2013/_html_en/index.html	HER	photo	32	84.57	96.95	35.37	25.77	10.67	15.62	0.00	0.00	0.00	0.00	0.00	0.00	6.25	6.25	0.00	0.00	0.00	0.00	0.00	3.12	0.00	0.00	6.25	6.25	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	0.00	0.00
Transforming ideas into innovations: Hosted by the Max Planck Society and Siemens  in cooperation with Economist Intelligence Unit and Skolkovo Foundation  the “Future Dialogue” will take place in Skolkovo near Moscow from April 9-10. Scientists  business leaders and politicians meet to discuss how to develop the climate of innovation: http://www.future-dialogue.org	HER	video	56	99.00	76.25	30.01	59.59	28.00	35.71	1.79	1.79	0.00	0.00	0.00	0.00	3.57	1.79	1.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.93	3.57	1.79	3.57	1.79	0.00	0.00	1.79	0.00	0.00	0.00	0.00	0.00
The Hannover Messe is open! Chancellor Merkel has opened the world’s largest industrial trade fair. She and President Putin have just toured the exhibition and been led around the Siemens booth by CEO Peter Löscher.  Read more here: www.siemens.com/hannovermesse	HER	photo	42	78.35	59.40	2.82	70.57	10.50	23.81	2.38	2.38	0.00	0.00	0.00	0.00	2.38	0.00	2.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.14	0.00	0.00	7.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.38
At the press conference on April 8 Siemens will provide information about technologies paving the way for the future of manufacturing. The focus is on integrated systems and services along the entire product development and production process. More info here: http://sie.ag/10zaXax	HER	photo	45	99.00	58.78	29.55	25.77	15.00	31.11	0.00	0.00	0.00	0.00	0.00	0.00	11.11	4.44	4.44	0.00	0.00	2.22	0.00	0.00	0.00	2.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.22	0.00	0.00	0.00	0.00	0.00
What challenges and opportunities lie in the energy revolution? What do future decision makers think? In a new white paper  developed by the Harvard Business Review Analytic Services  Future Influencers provide their answers. http://bit.ly/13ToGyW	HER	photo	38	95.07	70.08	67.26	99.00	9.50	34.21	7.89	7.89	0.00	0.00	0.00	0.00	15.79	10.53	5.26	0.00	0.00	0.00	0.00	2.63	0.00	0.00	10.53	0.00	5.26	5.26	2.63	0.00	0.00	2.63	0.00	0.00	0.00	5.26	0.00
Siemens opened the world’s largest wind turbine research & test facilities in Denmark: seven blade test stands are capable to perform full scale tests of rotor blades  including the world’s largest blade in operation with a length of 75 meters. Read more here: http://sie.ag/WYwqKA	HER	photo	47	99.00	50.00	25.35	25.77	23.50	23.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.38	0.00	2.13	4.26	0.00	0.00	0.00	2.13	0.00	0.00	0.00	0.00	0.00
Ever heard of “organic photo detectors”? This technology promises a better image resolution for X-rays than today’s detectors deliver while reducing production costs. Read more about this innovation here:  http://www.siemens.com/innovation/en/news/2013/e_inno_1305_1.htm	HER	photo	44	90.34	50.00	11.00	94.75	14.67	27.27	4.55	4.55	0.00	0.00	0.00	0.00	11.36	2.27	2.27	0.00	0.00	4.55	2.27	4.55	2.27	0.00	2.27	0.00	2.27	0.00	2.27	0.00	0.00	2.27	0.00	0.00	0.00	2.27	0.00
Britain's Queen Elizabeth II  Mike Brown (Managing Director  London Underground)  and Steve Scrimshaw (Managing Director Siemens Rail Systems UK&NWE)  during the visit of her Majesty of the Baker Street underground station in London. The visit to the station on London's tube transport system  was to mark the 150th anniversary of the London Underground which is sponsored by Siemens. http://sie.ag/14eQlJV	HER	photo	64	99.00	73.40	4.70	25.77	21.33	32.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.56	0.00	0.00	7.81	0.00	1.56	7.81	0.00	0.00	0.00	1.56	0.00	0.00	0.00	0.00	0.00
If everyone takes the same or a similar route at the same time  it can get quite crowded. eTicketing provides an answer to the current challenges facing public transportation. More here: http://sie.ag/WGlW3L	HER	photo	36	95.17	71.09	39.76	77.00	12.00	22.22	2.78	2.78	0.00	0.00	0.00	0.00	13.89	2.78	0.00	2.78	8.33	2.78	5.56	0.00	0.00	0.00	8.33	0.00	2.78	0.00	5.56	0.00	0.00	2.78	0.00	0.00	0.00	0.00	0.00
How can dedusting boast an energy recovery level by  20-30 percent? Find out how our newly developed Simetal Merim process works: http://sie.ag/ZtuSqG	HER	photo	27	74.89	77.05	15.12	88.52	13.50	22.22	3.70	3.70	0.00	0.00	0.00	0.00	11.11	3.70	7.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	3.70	7.41	0.00	0.00	0.00	0.00	3.70	0.00	0.00	0.00	3.70	0.00
Did you know that William Siemens  the younger brother of Werner  opened the first Siemens & Halske agency in London on March 16  1850? Find out more: http://sie.ag/154L2bP	HER	photo	32	98.29	82.58	88.24	25.77	16.00	15.62	0.00	0.00	0.00	0.00	0.00	0.00	6.25	6.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	3.12	3.12	0.00	0.00	0.00	0.00	3.12	0.00	0.00	0.00	3.12	0.00
The 2013 Formula One season kicks off in Australia on March 17th - we are looking forward to following the Infiniti Red Bull Racing Team as they defend their 2012 World Championship Title. The new RB9 has been designed and manufactured with the help of Siemens' PLM-Software. http://bit.ly/15Oukj4	HER	photo	53	96.90	87.12	36.10	25.77	17.67	20.75	3.77	1.89	1.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.77	0.00	0.00	9.43	5.66	3.77	3.77	0.00	1.89	0.00	1.89	0.00	0.00	0.00	0.00	0.00
Road to a digital future: In a research project called "RACE"  new concepts are already being developed and tested in prototypes. More on this here: http://sie.ag/13TjKJo	HER	photo	30	92.84	63.05	65.14	25.77	15.00	26.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.33	0.00	0.00	0.00	0.00	0.00
How does a simple electricity network become intelligent? Together with Stadtwerke Krefeld AG are we converting the electricity network of Wachtendonk  which is located in Germany on the Lower Rhine  into a smart grid. http://sie.ag/ZOcc9i	HER	photo	39	95.02	77.92	30.55	73.64	13.00	30.77	7.69	5.13	2.56	0.00	0.00	2.56	5.13	2.56	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.69	5.13	0.00	2.56	0.00	0.00	0.00	2.56	0.00	0.00	0.00	2.56	0.00
Time to get moving again – The Siemens locomotive plant at Allach has set about becoming the most modern in Europe. Find out more in our video: http://bit.ly/15Q1orO	HER	photo	32	98.29	73.40	95.60	25.77	16.00	9.38	0.00	0.00	0.00	0.00	0.00	0.00	9.38	6.25	0.00	0.00	3.12	0.00	0.00	3.12	0.00	0.00	6.25	3.12	0.00	0.00	3.12	0.00	0.00	3.12	0.00	0.00	0.00	0.00	0.00
Did you know that we are working on a technology to enable early diagnosis through Breath Analysis? Our goal is to create a universal device that can diagnose cancer  allergies and infections. Read more here: http://sie.ag/13jU0p3	HER	photo	42	73.03	92.33	13.15	70.57	14.00	21.43	2.38	2.38	0.00	0.00	0.00	0.00	14.29	9.52	4.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.29	4.76	9.52	0.00	2.38	0.00	0.00	2.38	0.00	0.00	0.00	2.38	0.00
Did you know that Germany’s first elevated and underground subway was opened on February 15  1902? Werner von Siemens came up with the idea for such a railway back in 1867. Find out more: http://sie.ag/YS7n8U	HER	photo	39	95.02	69.60	94.81	25.77	13.00	15.38	0.00	0.00	0.00	0.00	0.00	0.00	7.69	7.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.13	0.00	2.56	2.56	0.00	0.00	0.00	2.56	0.00	0.00	0.00	2.56	0.00
Siemens Mobility and Logistics wins Transport Ticketing Award 2013 for developing the dual-function smartcard. Find out about the key component in mobility solutions: http://sie.ag/11Xs7DC	HER	photo	30	99.00	50.00	65.14	99.00	15.00	36.67	6.67	6.67	0.00	0.00	0.00	0.00	6.67	6.67	3.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	10.00	3.33	6.67	0.00	0.00	3.33	0.00	0.00	0.00	0.00	0.00
Isabel Dedring  London's Deputy Mayor for transport  faces the challenge of overseeing the upgrade of the oldest metro system in the world  the London Tube. http://sie.ag/W9F45u	HER	photo	30	99.00	50.00	10.08	84.54	15.00	20.00	3.33	3.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.33	0.00	3.33	0.00	0.00	0.00	0.00	3.33	0.00	0.00	0.00	0.00	0.00
How does a wind turbine reach the open sea? Find out about the superlative installation ship "Sea Installer": http://youtu.be/yQnF86rh8Eg	HER	photo	23	92.84	50.00	9.25	25.77	11.50	21.74	0.00	0.00	0.00	0.00	0.00	0.00	8.70	4.35	4.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.35	0.00	0.00	0.00	4.35	0.00
Did you know that our industry software enabled the SpaceX team to design and test products virtually before constructing them physically? Find out how: http://bit.ly/VlAQwY	HER	photo	29	59.19	98.06	11.50	25.77	14.50	24.14	0.00	0.00	0.00	0.00	0.00	0.00	20.69	6.90	10.34	0.00	3.45	0.00	0.00	0.00	0.00	0.00	10.34	6.90	6.90	0.00	0.00	0.00	0.00	3.45	0.00	0.00	0.00	3.45	0.00
Together with the Norwegian shipyard Fjellstrand  we developed the world's first electrically powered car ferry. The 80-meter vessel can carry 120 cars and 360 passengers. Check it out here:  http://sie.ag/V31bj5	HER	photo	35	92.84	80.42	26.00	25.77	11.67	22.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.57	5.71	2.86	0.00	0.00	0.00	0.00	2.86	0.00	0.00	0.00	0.00	0.00
Have you seen this Siemens Financial Services study? It shows rising energy costs for industrial companies in ten countries and analyzes cost savings possibilities through the use of energy-efficiency initiatives. More here: http://sie.ag/11AM17p	HER	photo	39	89.98	69.60	8.65	97.19	13.00	30.77	5.13	5.13	0.00	0.00	0.00	0.00	10.26	2.56	5.13	0.00	2.56	0.00	0.00	5.13	0.00	0.00	5.13	0.00	5.13	0.00	0.00	0.00	0.00	2.56	0.00	0.00	0.00	2.56	0.00
Time for a new quiz. Any idea where this Siemens building is located? Hint: This country's Siemens fan page has over 200 000 fans :)	HER	photo	25	81.40	50.00	87.83	91.14	8.33	20.00	4.00	4.00	0.00	0.00	0.00	0.00	8.00	4.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	4.00	0.00	0.00	4.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	4.00	0.00
A picture from the past: 1899 - the first Siemens & Halske trademark registered in Berlin http://sie.ag/WtMRi3	HER	photo	19	99.00	50.00	19.27	25.77	19.00	21.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.26	0.00	0.00	5.26	0.00	5.26	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00
Yesterday Infiniti Red Bull Racing launched their car of the season the RB9 designed with Siemens PLM Software. See how the car evolves on Red Bull Racing You Tube Channel: www.youtube.com/redbullracing	HER	photo	34	97.02	81.12	47.25	25.77	17.00	29.41	0.00	0.00	0.00	0.00	0.00	0.00	5.88	0.00	5.88	0.00	0.00	0.00	0.00	8.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
With our technology and expertise in managing major projects and sustainable urban development  we are providing support to help the World Ski Championships reach its environmental goals. Find out more on this interactive map: http://www.siemens.com/answers/cee/en/schladming.htm	HER	photo	44	90.34	94.40	31.94	94.75	22.00	31.82	4.55	4.55	0.00	0.00	0.00	0.00	4.55	4.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.18	9.09	4.55	9.09	2.27	0.00	0.00	2.27	0.00	0.00	0.00	0.00	0.00
Fifteen-year-old Christian has been diagnosed with cancer  doctors discovered a tumor in his pancreas. The Siemens Biograph mMR played a major role in Christian’s treatment. That shows: Trust based on ideas. Find out more about his story:  http://www.siemens.com/annual/12/en/company-report/report-ideas	HER	photo	51	97.02	88.03	40.84	90.49	12.75	23.53	3.92	3.92	0.00	0.00	0.00	0.00	11.76	9.80	1.96	0.00	0.00	0.00	0.00	1.96	0.00	0.00	3.92	0.00	0.00	1.96	0.00	1.96	0.00	1.96	0.00	0.00	0.00	0.00	0.00
Mars-Curiosity Rover landed in Munich! See the 1:1 Model today until 4 PM at Odeonsplatz.	HER	photo	17	99.00	50.00	91.95	25.77	8.50	11.76	0.00	0.00	0.00	0.00	0.00	0.00	5.88	5.88	0.00	0.00	0.00	0.00	0.00	5.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.88
Mars-Rover Curiosity lands in Munich on Thursday  24.01.2013. See the model presented by NASA at Odeonsplatz from 11AM till 4PM. The Rover  which is presently exploring the Mars  weighs 900 kilogram and is driven remote-controlled on six wheels. The shown replica looks exactly like the Original.  See our press release for more info: http://www.siemens.com/press/de/pressemitteilungen/2013/corporate/axx20130123.htm	HER	photo	68	98.54	61.58	37.68	53.41	13.60	23.53	1.47	1.47	0.00	0.00	0.00	0.00	7.35	4.41	1.47	0.00	0.00	1.47	0.00	4.41	0.00	2.94	4.41	1.47	1.47	1.47	0.00	0.00	0.00	1.47	0.00	0.00	0.00	0.00	0.00
The Siemens Annual Shareholders’ Meeting will be held on Wednesday. The opening and the speeches of Dr. Gerhard Cromme  Chairman of the Supervisory Board  and Peter Löscher  CEO  will be broadcast on January 23  at app. 10:00 AM CET. You may follow the entire Annual Meeting including the general debate via live stream at http://www.siemens.com/agm	HER	photo	61	97.98	79.38	31.05	25.77	15.25	26.23	0.00	0.00	0.00	0.00	0.00	0.00	3.28	0.00	0.00	0.00	1.64	1.64	0.00	0.00	1.64	0.00	4.92	0.00	0.00	4.92	0.00	0.00	0.00	3.28	0.00	0.00	0.00	0.00	0.00
The Curiosity Mars Rover has been on display at the renowned DLD media event in Munich tonight. Marc Langendorf of Siemens explained that providing the software to the NASA engineers for such an iconic project has helped to design and test the rover. The data created will be reused for the next NASA mission as well.	HER	photo	56	99.00	63.97	13.15	87.20	18.67	23.21	3.57	3.57	0.00	0.00	0.00	0.00	5.36	3.57	1.79	0.00	0.00	0.00	0.00	1.79	0.00	0.00	1.79	0.00	1.79	0.00	0.00	0.00	0.00	0.00	0.00	1.79	0.00	0.00	0.00
Siemens will hold its Annual Shareholders' Meeting and release the results for the first quarter of fiscal 2013 on January 23 at the Olympia Hall in Munich. Find additional documents  presentations and speeches as well as a live broadcast of both events here: http://www.siemens.com/press/en/events/2013/corporate/2013-hv.php	HER	photo	56	97.54	57.10	20.57	59.59	28.00	26.79	1.79	1.79	0.00	0.00	0.00	0.00	3.57	1.79	1.79	0.00	0.00	0.00	0.00	0.00	1.79	1.79	1.79	0.00	1.79	0.00	0.00	0.00	0.00	1.79	0.00	1.79	0.00	0.00	0.00
Siemens has won the Zayed Future Energy Prize 2013! The award in the category ‘Large Corporations’ was presented to Mr. Loescher by His Highness Sheikh Mohammed bin Zayed Al Nahyan  the Crown Prince of Abu Dhabi and Deputy Supreme Commander of the UAE Armed Forces  during a gala dinner ceremony in Abu Dhabi yesterday. The prize was established to reward achievements that reflect impact  innovation  long-term vision and leadership in renewable energy and sustainability.	HER	photo	75	98.28	60.53	10.08	99.00	25.00	24.00	10.67	10.67	0.00	0.00	0.00	0.00	4.00	2.67	1.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	0.00	9.33	8.00	8.00	0.00	0.00	1.33	0.00	0.00	0.00	0.00	1.33
From January 15-17  2013  Siemens will be participating in the World Future Energy Summit in Abu Dhabi  with the aim of addressing climate change and developing renewable energy resources. Find out more about the event: http://www.siemens.ae/energy-efficiency/events/wfes.html	HER	photo	46	99.00	58.59	40.55	99.00	23.00	21.74	6.52	6.52	0.00	0.00	0.00	0.00	4.35	2.17	2.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.17	0.00	2.17	0.00	0.00	0.00	0.00	2.17	0.00	0.00	0.00	0.00	0.00
We would like to wish all our fans a great weekend and a happy holiday season. Thank you for understanding that we will not be actively posting on Facebook from the 22nd of December till the 6th of January. We will also not be able to get back to your inquiries because we will be out of the office with our families :). We get back to you as soon as we are back. Enjoy your time with your families and friends everyone.	HER	status	83	53.49	99.00	24.54	99.00	16.60	18.07	8.43	8.43	0.00	0.00	0.00	0.00	10.84	2.41	1.20	2.41	0.00	2.41	2.41	0.00	0.00	0.00	19.28	14.46	1.20	0.00	3.61	0.00	0.00	1.20	0.00	0.00	0.00	0.00	0.00
Congratulations to 12 particularly successful research and development employees who have been honored as “Inventor of the Year”. Their patents  totaling some 734  have laid the foundation for many products with which  for example  medical diagnostics can be improved or industrial manufacturing and power generation can be made more efficient and more flexible.  Find out more about these outstanding men and women and their inventions:   www.siemens.com/press/inventors2012	HER	photo	70	63.38	71.61	1.94	98.56	23.33	35.71	5.71	5.71	0.00	0.00	0.00	0.00	11.43	2.86	2.86	1.43	2.86	1.43	1.43	0.00	0.00	2.86	8.57	0.00	5.71	4.29	1.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Today is Werner von Siemens’ birthday! He was born on Dec 13  1816 in Lenthe near Hannover  Germany. Even today  the pioneering spirit of the ingenious inventor defines the corporate culture of Siemens.	HER	photo	33	99.00	72.77	51.41	25.77	11.00	33.33	0.00	0.00	0.00	0.00	0.00	0.00	3.03	3.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.03
Hundreds of Australians joined Siemens and Cadel Evans at the FutuRide – a project to break the Guinness World Record of “Most electrical energy generated by pedalling on bicycles in one hour”. Find out more about the event and how working as a team can make a difference on:   http://futuride.com.au	HER	photo	53	99.00	50.00	72.17	61.55	26.50	24.53	1.89	1.89	0.00	0.00	0.00	0.00	11.32	1.89	5.66	0.00	1.89	0.00	1.89	0.00	0.00	0.00	5.66	3.77	3.77	0.00	0.00	0.00	0.00	1.89	0.00	0.00	0.00	0.00	0.00
Remember our earlier post on the "Proud to be Siemens" competition? Yesterday  Peter Löscher  President and CEO of Siemens AG  met and personally congratulated the 8 winners. We are dedicating our Facebook page next week to their stories. Stay tuned!	HER	photo	40	86.59	99.00	43.37	96.76	10.00	35.00	5.00	5.00	0.00	0.00	0.00	0.00	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.00	12.50	7.50	10.00	2.50	0.00	0.00	0.00	0.00	0.00	0.00	2.50	2.50
Doha’s Tornado Tower  a landmark example of an efficient Siemens Total Building Solution. It is lit up in green using energy efficient LED lights for the duration of COP18.	HER	photo	29	99.00	50.00	11.50	85.87	14.50	31.03	3.45	3.45	0.00	0.00	0.00	0.00	13.79	3.45	10.34	0.00	0.00	3.45	0.00	10.34	0.00	0.00	13.79	0.00	10.34	3.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
