posts,label
is_clout_yes is_authentic_yes cause_yes discrep_yes tentat_yes certain_yes see_yes affiliation_yes netspeak_yes has_qmark type_Photo has_hashtag has_url,HER
is_clout_no is_authentic_no is_tone_yes posemo_yes insight_yes discrep_yes differ_yes affiliation_yes achieve_yes power_yes netspeak_yes many_sixltr type_Video has_url,HER
is_analytic_yes insight_yes cause_yes feel_yes affiliation_yes netspeak_yes has_exclam type_Photo has_hashtag has_url,HER
is_analytic_yes insight_yes cause_yes affiliation_yes achieve_yes netspeak_yes high_wps type_Photo has_url,HER
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes affiliation_yes netspeak_yes has_qmark type_Photo has_url,HER
is_analytic_yes see_yes hear_yes affiliation_yes netspeak_yes few_sixltr type_Photo has_url,HER
is_analytic_yes is_authentic_yes insight_yes see_yes affiliation_yes netspeak_yes type_Photo has_url,HER
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes see_yes affiliation_yes achieve_yes reward_yes netspeak_yes low_wps has_exclam has_qmark type_Video has_url,LER
is_analytic_yes insight_yes cause_yes feel_yes affiliation_yes netspeak_yes has_exclam type_Photo has_hashtag has_url,HER
is_authentic_no insight_yes cause_yes certain_yes affiliation_yes netspeak_yes many_sixltr high_wps type_Photo has_url,HER
is_analytic_yes cause_yes see_yes hear_yes affiliation_yes achieve_yes power_yes netspeak_yes many_sixltr type_Photo has_hashtag has_url,HER
is_analytic_yes insight_yes cause_yes tentat_yes affiliation_yes netspeak_yes low_wps has_exclam has_qmark type_Photo has_hashtag has_url,HER
is_analytic_yes is_clout_no tentat_yes certain_yes differ_yes affiliation_yes achieve_yes power_yes netspeak_yes many_sixltr high_wps has_exclam type_Photo has_url,HER
hear_yes affiliation_yes power_yes netspeak_yes few_sixltr low_wps type_Photo has_hashtag has_url,HER
is_analytic_yes is_authentic_no affiliation_yes netspeak_yes has_exclam type_Photo has_url,HER
is_analytic_yes is_authentic_yes insight_yes cause_yes feel_yes affiliation_yes netspeak_yes has_exclam type_Photo has_hashtag has_url,HER
is_analytic_no is_authentic_yes is_tone_yes posemo_yes insight_yes reward_yes netspeak_yes few_sixltr has_qmark type_Photo has_url,HER
is_analytic_yes is_clout_no is_authentic_yes posemo_yes tentat_yes see_yes netspeak_yes high_wps type_Photo has_url,HER
is_analytic_yes is_clout_yes is_tone_yes posemo_yes affiliation_yes netspeak_yes high_wps type_Photo has_url,HER
is_clout_no is_authentic_no insight_yes cause_yes tentat_yes achieve_yes power_yes reward_yes netspeak_yes high_wps type_Photo has_url,HER
is_clout_no is_authentic_yes insight_yes cause_yes tentat_yes see_yes achieve_yes power_yes netspeak_yes many_sixltr has_qmark type_Video has_hashtag has_url,LER
is_clout_yes is_authentic_no posemo_yes see_yes hear_yes affiliation_yes achieve_yes power_yes netspeak_yes few_sixltr has_exclam type_Photo has_url,HER
is_clout_yes is_authentic_no is_tone_yes posemo_yes tentat_yes see_yes hear_yes affiliation_yes achieve_yes power_yes netspeak_yes few_sixltr type_Photo has_url,HER
is_analytic_no is_tone_yes posemo_yes see_yes affiliation_yes power_yes type_Video,LER
insight_yes cause_yes affiliation_yes netspeak_yes high_wps type_Photo has_hashtag has_url,HER
is_clout_yes is_authentic_no insight_yes cause_yes tentat_yes affiliation_yes netspeak_yes has_exclam type_Photo has_hashtag has_url,HER
posemo_yes insight_yes cause_yes discrep_yes certain_yes differ_yes see_yes affiliation_yes achieve_yes power_yes netspeak_yes many_sixltr has_exclam type_Photo has_url,HER
is_analytic_yes is_tone_yes posemo_yes negemo_yes cause_yes see_yes affiliation_yes achieve_yes power_yes reward_yes risk_yes many_sixltr type_Photo,HER
is_authentic_yes cause_yes see_yes affiliation_yes netspeak_yes few_sixltr high_wps has_exclam type_Photo has_hashtag has_url,HER
is_analytic_no is_tone_yes posemo_yes see_yes affiliation_yes power_yes many_sixltr type_Photo,LER
is_analytic_no insight_yes affiliation_yes netspeak_yes type_Photo has_url,HER
is_analytic_no is_authentic_no cause_yes see_yes hear_yes feel_yes affiliation_yes netspeak_yes type_Video has_url,HER
is_analytic_no posemo_yes insight_yes cause_yes discrep_yes tentat_yes affiliation_yes power_yes netspeak_yes high_wps type_Video has_url,LER
insight_yes cause_yes tentat_yes see_yes affiliation_yes netspeak_yes many_sixltr has_qmark type_Video has_hashtag has_url,LER
is_authentic_no cause_yes see_yes feel_yes affiliation_yes power_yes netspeak_yes many_sixltr type_Photo has_hashtag has_url,HER
is_clout_yes insight_yes tentat_yes affiliation_yes netspeak_yes type_Photo has_url,HER
is_analytic_yes is_clout_yes insight_yes tentat_yes affiliation_yes power_yes netspeak_yes low_wps has_qmark type_Photo has_url,HER
is_analytic_yes is_clout_no is_authentic_yes insight_yes tentat_yes see_yes power_yes netspeak_yes few_sixltr type_Photo has_url,HER
is_analytic_yes is_clout_yes cause_yes hear_yes affiliation_yes achieve_yes reward_yes netspeak_yes has_exclam has_qmark type_Photo,HER
is_clout_yes is_authentic_no cause_yes see_yes hear_yes affiliation_yes achieve_yes netspeak_yes type_Photo has_url,HER
is_clout_yes insight_yes tentat_yes affiliation_yes power_yes netspeak_yes low_wps has_qmark type_Photo has_url,HER
is_authentic_no is_tone_no negemo_yes anx_yes sad_yes cause_yes tentat_yes see_yes hear_yes affiliation_yes achieve_yes power_yes netspeak_yes many_sixltr high_wps type_Link has_url,LER
is_analytic_yes is_clout_no is_authentic_no affiliation_yes many_sixltr low_wps type_Status,HER
is_clout_yes affiliation_yes power_yes netspeak_yes many_sixltr high_wps type_Photo has_url,HER
is_analytic_no is_authentic_yes insight_yes cause_yes differ_yes affiliation_yes achieve_yes netspeak_yes many_sixltr type_Photo has_url,HER
is_analytic_yes is_tone_no negemo_yes anx_yes cause_yes hear_yes power_yes reward_yes risk_yes netspeak_yes has_exclam type_Photo has_url,HER
is_clout_yes insight_yes tentat_yes see_yes affiliation_yes power_yes reward_yes netspeak_yes type_Photo has_url,HER
is_analytic_no is_clout_no insight_yes cause_yes tentat_yes see_yes power_yes netspeak_yes low_wps has_exclam has_qmark type_Video has_hashtag has_url,LER
is_analytic_yes posemo_yes insight_yes cause_yes see_yes feel_yes achieve_yes power_yes netspeak_yes has_exclam type_Video has_url,LER
is_clout_no is_authentic_yes insight_yes differ_yes see_yes feel_yes netspeak_yes few_sixltr has_exclam type_Video has_url,LER
posemo_yes insight_yes tentat_yes feel_yes affiliation_yes reward_yes netspeak_yes many_sixltr type_Video has_url,LER
